full_text,Label,text,predicted_label
"['minimal', 'kalau', 'gue', 'editin', 'cari', 'materinya', 'anjing', 'udah', 'tugas', 'materi', 'kagak', 'cari', 'boro', 'boro', 'cari', 'pesan', 'nya', 'read', 'aja', 'kagak', 'babi', 'lo', 'anjing', 'beban', 'benar', 'izin', 'misuh', 'iya']",NoBully, minimal kalau gue editin cari materinya anjing udah tugas materi kagak cari boro boro cari pesan nya read aja kagak babi lo anjing beban benar izin misuh iya ,Bully
"['jamur', 'ngapain', 'sih', 'becky', 'negeri', 'mending', 'tiduran', 'rumah', 'main', 'anjing', 'pergi', 'pergi']",NoBully, jamur ngapain sih becky negeri mending tiduran rumah main anjing pergi pergi ,Bully
"['susi', 'siapa', 'anjing', 'btw', 'galang', 'sampai', 'galang']",Bully, susi siapa anjing btw galang sampai galang ,Bully
"['begini', 'sangat', 'tim', 'gede', 'pemegang', 'gelar', 'liga', 'ingris', 'keliatan', 'banget', 'kali', 'sirik', 'nya', 'emyu', 'small', 'club', 'makan', 'tuh', 'fakta', 'anjing']",Bully, begini sangat tim gede pemegang gelar liga ingris keliatan banget kali sirik nya emyu small club makan tuh fakta anjing ,Bully
"['anjing', 'ngetwet']",Bully, anjing ngetwet ,Bully
"['tidak', 'salah', 'sih', 'anjing', 'wkwkwkwk']",Bully, tidak salah sih anjing wkwkwkwk ,Bully
"['anjing', 'admin', 'kantor', 'dibayarin', 'nonton', 'aespa', 'ngentot', 'iri', 'berat']",Bully, anjing admin kantor dibayarin nonton aespa ngentot iri berat ,Bully
"['tonjok', 'perut', 'gue', 'cemburu', 'anjing']",Bully, tonjok perut gue cemburu anjing ,Bully
"['salah', 'submit', 'anjing', 'anjing']",Bully, salah submit anjing anjing ,Bully
"['anak', 'anjing', 'pakai', 'banget']",Bully, anak anjing pakai banget ,Bully
"['percaya', 'rumor', 't', 'pi', 'tai', 'bakalan', 'date', 'cewek', 'tidak', 'cowok', 'anjing', 'tolol', 'ngatain', 'tolol', 'bilang', 'tai', 'dating', 'women', 'tuh', 'langsung', 'tantrum', 'jekicot', 'dating', 'bongo']",Bully, percaya rumor t pi tai bakalan date cewek tidak cowok anjing tolol ngatain tolol bilang tai dating women tuh langsung tantrum jekicot dating bongo ,Bully
"['anjing', 'anjing']",Bully, anjing anjing ,Bully
"['gausah', 'bawa', 'army', 'anjing', 'gada', 'sangkut', 'pautnya', 'orang', 'reveluv', 'blink', 'tidak', 'demen', 'ngomongin', 'dibahas', 'ganyambung', 'banget']",Bully, gausah bawa army anjing gada sangkut pautnya orang reveluv blink tidak demen ngomongin dibahas ganyambung banget ,Bully
"['marah', 'sama', 'si', 'anjing', 'sakit', 'hati', 'gara', 'si', 'anjing', 'pengin', 'peluk', 'hn', 'ngarep', 'sama', 'sencol', 'sencol', 'jan', 'aneh', 'ya', 'sencol', 'kasihan', 'hn', 'aku']",Bully, marah sama si anjing sakit hati gara si anjing pengin peluk hn ngarep sama sencol sencol jan aneh ya sencol kasihan hn aku ,Bully
"['memang', 'kntol', 'dah', 'lo', 'semua', 'anjing']",Bully, memang kntol dah lo semua anjing ,Bully
"['mampus', 'anjing']",Bully, mampus anjing ,Bully
"['pagi', 'pagi', 'udah', 'ngeliat', 'kelakuan', 'solos', 'kontol', 'anjing', 'muka', 'lo', 'gue', 'remes', 'remes', 'biar', 'kisut', 'anjing']",NoBully, pagi pagi udah ngeliat kelakuan solos kontol anjing muka lo gue remes remes biar kisut anjing ,Bully
['anjing'],Bully, anjing ,Bully
"['anjing', 'lato', 'kaget', 'aing']",Bully, anjing lato kaget aing ,Bully
"['kek', 'anjing', 'elu', 'saying', 'one', 'of', 'the', 'meanest', 'thing', 'to', 'me', 'giliran', 'gue', 'yang', 'ngomong', 'jahat', 'elu', 'koar', 'koar', 'ngatain', 'gue', 'baperan', 'sensi', 'tidak', 'ngerti', 'jokes', 'goblog', 'your', 'jokes', 'is', 'making', 'fun', 'of', 'my', 'physique', 'and', 'my', 'loks']",Bully, kek anjing elu saying one of the meanest thing to me giliran gue yang ngomong jahat elu koar koar ngatain gue baperan sensi tidak ngerti jokes goblog your jokes is making fun of my physique and my loks ,Bully
"['result', 'carolina', 'day', 'mingu', 'september', 'shio', 'anjing', 'silahkan', 'isi', 'form', 'withdraw', 'jp', 'salam', 'jp', 'jabartoto']",Bully, result carolina day mingu september shio anjing silahkan isi form withdraw jp salam jp jabartoto ,Bully
"['yang', 'lebih', 'bajingan', 'mrk', 'yang', 'menjadikan', 'anjing', 'china', 'polisi']",Bully, yang lebih bajingan mrk yang menjadikan anjing china polisi ,Bully
"['result', 'carolina', 'day', 'mingu', 'september', 'shio', 'anjing', 'silahkan', 'isi', 'form', 'withdraw', 'jp', 'salam', 'jp', 'jabartoto']",Bully, result carolina day mingu september shio anjing silahkan isi form withdraw jp salam jp jabartoto ,Bully
"['cina', 'anjing']",Bully, cina anjing ,Bully
"['her', 'marah', 'and', 'literaly', 'saying', 'one', 'of', 'the', 'meanest', 'thing', 'to', 'me', 'me', 'maf', 'berkali', 'kali', 'pdhl', 'bkn', 'gue', 'yang', 'salah', 'wek', 'later', 'me', 'cmn', 'ngmong', 'jokes', 'lo', 'tidak', 'lucu', 'anjing', 'gue', 'tersingung', 'her', 'sih', 'ngentot', 'sensi', 'sangat', 'baperan', 'jokes', 'doang']",Bully, her marah and literaly saying one of the meanest thing to me me maf berkali kali pdhl bkn gue yang salah wek later me cmn ngmong jokes lo tidak lucu anjing gue tersingung her sih ngentot sensi sangat baperan jokes doang ,Bully
