full_text,Label,text,predicted_label
"['minimal', 'kalau', 'gue', 'editin', 'cari', 'materinya', 'anjing', 'udah', 'tugas', 'materi', 'kagak', 'cari', 'boro', 'boro', 'cari', 'pesan', 'nya', 'read', 'aja', 'kagak', 'babi', 'lo', 'anjing', 'beban', 'benar', 'izin', 'misuh', 'iya']",NoBully, minimal kalau gue editin cari materinya anjing udah tugas materi kagak cari boro boro cari pesan nya read aja kagak babi lo anjing beban benar izin misuh iya ,Bully
"['jamur', 'ngapain', 'sih', 'becky', 'negeri', 'mending', 'tiduran', 'rumah', 'main', 'anjing', 'pergi', 'pergi']",NoBully, jamur ngapain sih becky negeri mending tiduran rumah main anjing pergi pergi ,Bully
"['pagi', 'pagi', 'udah', 'ngeliat', 'kelakuan', 'solos', 'kontol', 'anjing', 'muka', 'lo', 'gue', 'remes', 'remes', 'biar', 'kisut', 'anjing']",NoBully, pagi pagi udah ngeliat kelakuan solos kontol anjing muka lo gue remes remes biar kisut anjing ,Bully
"['st', 'of', 'al', 'boston', 'anjing', 'sebel', 'belagu', 'sangat', 'giliran', 'ulti', 'sama', 'mew', 'ciut', 'lo', 'muntah']",NoBully, st of al boston anjing sebel belagu sangat giliran ulti sama mew ciut lo muntah ,Bully
"['lo', 'mendingan', 'kawin', 'anjing', 'aja', 'dah', 'anaknya', 'mengongong', 'tidak', 'nangis']",NoBully, lo mendingan kawin anjing aja dah anaknya mengongong tidak nangis ,Bully
"['emang', 'anjing', 'sadar', 'kh', 'u']",NoBully, emang anjing sadar kh u ,Bully
"['bangsat', 'ijo', 'anjing', 'gausah', 'klakson', 'tidak', 'motor', 'belajar', 'anjing', 'tolol', 'bahayain', 'orang', 'anjing', 'rausah', 'ngebut', 'cok', 'berisik', 'knalpot', 'jamet', 'kabupaten', 'polisi', 'tidur', 'segede', 'dah', 'ya', 'alah', 'sih', 'orang', 'orang', 'bego', 'kaya', 'begini', 'dikasih', 'motor']",NoBully, bangsat ijo anjing gausah klakson tidak motor belajar anjing tolol bahayain orang anjing rausah ngebut cok berisik knalpot jamet kabupaten polisi tidur segede dah ya alah sih orang orang bego kaya begini dikasih motor ,Bully
"['mingu', 'lonte', 'anjing', 'jalang']",NoBully, mingu lonte anjing jalang ,Bully
"['keluarga', 'elu', 'anjing', 'kafir', 'monyet']",NoBully, keluarga elu anjing kafir monyet ,Bully
"['napa', 'si', 'babi', 'ovt', 'cewe']",NoBully, napa si babi ovt cewe ,Bully
"['babi', 'tidak', 'sopan', 'sopanya', 'lo']",NoBully, babi tidak sopan sopanya lo ,Bully
"['sumpah', 'anjing', 'temen', 'slowrespon', 'banget', 'babi']",NoBully, sumpah anjing temen slowrespon banget babi ,Bully
"['gondo', 'sama', 'babi', 'lt']",NoBully, gondo sama babi lt ,Bully
"['lo', 'babi', 'gahar']",NoBully, lo babi gahar ,Bully
"['babi', 'ngetap', 'doang']",NoBully, babi ngetap doang ,Bully
"['semangat', 'bang', 'dikit', 'lagi', 'lucu']",NoBully, semangat bang dikit lagi lucu ,Bully
"['bajingan', 'tolol', 'dongo', 'banget', 'emang', 'nya', 'dunia', 'rocky', 'gerung', 'doang', 'contoh', 'kau', 'pelacur', 'kampung', 'namanya', 'pelacur', 'kampung', 'mu', 'doang', 'betul', 'tidak', 'monyet']",NoBully, bajingan tolol dongo banget emang nya dunia rocky gerung doang contoh kau pelacur kampung namanya pelacur kampung mu doang betul tidak monyet ,Bully
"['pulau', 'rempang', 'berduka', 'orang', 'in', 'kemana', 'aja', 'hilang', 'telan', 'bumi', 'udah', 'kubur', 'ngepet', 'pindah', 'cari', 'sasaran', 'bisnis', 'investorx', 'coba', 'bajingan', 'tolol']",NoBully, pulau rempang berduka orang in kemana aja hilang telan bumi udah kubur ngepet pindah cari sasaran bisnis investorx coba bajingan tolol ,Bully
"['nya', 'bajingan']",Bully, nya bajingan ,NoBully
"['buzerpki', 'munafik', 'bajingan', 'tolol', 'cebong', 'penjilat', 'bangsa', 'kader', 'abubu', 'in', 'gk', 'mengalahkan', 'anis', 'karna', 'ganjar', 'korupsi', 'ktp', 'wowok', 'pendukungx', 'udah', 'kecewa', 'munafik']",NoBully, buzerpki munafik bajingan tolol cebong penjilat bangsa kader abubu in gk mengalahkan anis karna ganjar korupsi ktp wowok pendukungx udah kecewa munafik ,Bully
"['hukum', 'dunia', 'hukum', 'alam', 'kebal', 'camat', 'pelaku', 'bajingan', 'semoga', 'akhirat', 'terbalas', 'telak', 'kuat', 'tabah', 'ya', 'samsul', 'alah', 'naikin', 'derajat', 'martabat', 'keluarga', 'setingi', 'langit', 'udah', 'kacau', 'sistem', 'hukum', 'negara']",NoBully, hukum dunia hukum alam kebal camat pelaku bajingan semoga akhirat terbalas telak kuat tabah ya samsul alah naikin derajat martabat keluarga setingi langit udah kacau sistem hukum negara ,Bully
"['temen', 'gue', 'brengsek', 'bajingan']",Bully, temen gue brengsek bajingan ,NoBully
"['bukti', 'negeri', 'dikuasai', 'bajingan']",NoBully, bukti negeri dikuasai bajingan ,Bully
"['aura', 'si', 'emang', 'negatif', 'bajingan', 'munafik', 'melekat', 'pd', 'si', 'anies']",NoBully, aura si emang negatif bajingan munafik melekat pd si anies ,Bully
"['bajingan', 'tolol', 'yang', 'tidak', 'peduli', 'rkyat', 'tanah', 'd', 'rampas', 'rajanya', 'pesta', 'pora', 'kaya', 'jaman', 'kompeni', 'blanda']",NoBully, bajingan tolol yang tidak peduli rkyat tanah d rampas rajanya pesta pora kaya jaman kompeni blanda ,Bully
