full_text,Label,predicted_label
"['jamur', 'ngapain', 'sih', 'becky', 'negeri', 'mending', 'tiduran', 'rumah', 'main', 'anjing', 'pergi', 'pergi']",NoBully,Bully
"['pagi', 'pagi', 'sudah', 'ngeliat', 'kelakuan', 'solos', 'kontol', 'anjing', 'muka', 'lo', 'gue', 'remes', 'remes', 'biar', 'kisut', 'anjing']",NoBully,Bully
"['emang', 'anjing', 'sadar', 'kh', 'u']",NoBully,Bully
"['sumpah', 'anjing', 'temen', 'slowrespon', 'banget', 'babi']",NoBully,Bully
"['gondo', 'sama', 'babi', 'lt']",NoBully,Bully
"['babi', 'ngetap', 'doang']",NoBully,Bully
"['semangat', 'bang', 'dikit', 'lagi', 'lucu']",NoBully,Bully
"['nya', 'bajingan']",Bully,NoBully
"['buzerpki', 'munafik', 'bajingan', 'tolol', 'cebong', 'penjilat', 'bangsa', 'kader', 'abubu', 'in', 'engga', 'mengalahkan', 'anis', 'karna', 'ganjar', 'korupsi', 'ktp', 'wowok', 'pendukungx', 'sudah', 'kecewa', 'munafik']",NoBully,Bully
"['hukum', 'dunia', 'hukum', 'alam', 'kebal', 'camat', 'pelaku', 'bajingan', 'semoga', 'akhirat', 'terbalas', 'telak', 'kuat', 'tabah', 'ya', 'samsul', 'alah', 'naikin', 'derajat', 'martabat', 'keluarga', 'setingi', 'langit', 'sudah', 'kacau', 'sistem', 'hukum', 'negara']",NoBully,Bully
"['wowo', 'sudah', 'tahun', 'puasa', 'kekuasan', 'mertuanya', 'lengser', 'mengemis', 'menghiba', 'pd', 'si', 'bajingan', 'tolol', 'untuk', 'dapat', 'jabatan', 'menteri', 'perduli', 'pendukungnya', 'kecewa', 'sikapnya', 'manusia', 'dipercaya', 'pemimpin', 'lebih', 'bahaya', 'mak', 'banteng', 'menghabiskan', 'aset', 'nkri']",NoBully,Bully
"['sudah', 'penjilat', 'penghianat', 'bangsa', 'bangakan', 'aseng', 'rendahkan', 'anak', 'bangsa', 'dasar', 'bajingan', 'tolol']",NoBully,Bully
"['denger', 'ya', 'bajingan', 'tolol']",NoBully,Bully
['bajingan'],Bully,NoBully
"['bangsat', 'yang', 'open', 'bo', 'mingat', 'gue', 'lihat', 'berita', 'ketutup', 'foto', 'jelek', 'lo', 'anjing', 'jancok']",NoBully,Bully
"['maaf', 'ka', 'jodohnya', 'disitu', 'gamau', 'himpunan', 'lelaki', 'bejad']",NoBully,Bully
"['yalah', 'jadwal', 'sidang', 'upn', 'gajelas', 'gue', 'dag', 'dig', 'dug', 'napa', 'gue', 'udah', 'bingung', 'mau', 'ngapain', 'kampus', 'bejad', 'z']",NoBully,Bully
['brengsek'],Bully,NoBully
"['argh', 'goblok', 'banget', 'brengsek']",Bully,NoBully
"['wkwkwk', 'brengsek']",NoBully,Bully
"['wkwkwk', 'brengsek', 'gue', 'ketawa', 'banget']",NoBully,Bully
"['wkwkwkwk', 'brengsek']",NoBully,Bully
"['anjir', 'gila', 'banget', 'fwek', 'brengsek']",NoBully,Bully
['brengsek'],Bully,NoBully
"['gege', 'brengsek']",NoBully,Bully
"['gue', 'benci', 'banget', 'menunggu', 'brengsek']",NoBully,Bully
"['argh', 'bikin', 'budek']",NoBully,Bully
"['krna', 'adik', 'yang', 'dipangil', 'budek']",NoBully,Bully
"['percaya', 'tidak', 'percaya', 'tapi', 'lo', 'nyuruh', 'gue', 'nanya', 'nama', 'lengkap', 'kating', 'trs', 'gue', 'gamau', 'ngasi', 'tau', 'trs', 'gue', 'ngomong', 'pakai', 'nada', 'lembut', 'mangnya', 'salah', 'gue', 'juga', 'ngomong', 'pakai', 'nada', 'lembut', 'lo', 'budek', 'sok', 'imut', 'post', 'sblmnya', 'gue', 'ditegur', 'karena', 'kagak', 'senyum', 'anjing', 'babilh', 'salah', 'mulu']",NoBully,Bully
"['temen', 'kamar', 'gue', 'budek', 'gmn', 'seh', 'anjer', 'dah', 'dikasih', 'tau', 'berkaki', 'kaki', 'jangan', 'kenceng', 'kenceng', 'trs', 'itu', 'suara']",NoBully,Bully
['budek'],NoBully,Bully
[],NoBully,Bully
[],NoBully,Bully
[],NoBully,Bully
[],NoBully,Bully
"['min', 'tidur', 'min', 'sudah', 'pagi', 'buta']",NoBully,Bully
"['detektif', 'nya', 'gimana', 'si', 'makan', 'gaji', 'buta', 'yuta', 'gue', 'tim', 'nyimak']",NoBully,Bully
['buta'],NoBully,Bully
"['ayo', 'ngerasain', 'gembel', 'ngerasa', 'bebas']",NoBully,Bully
"['gembel', 'banget', 'notgod', 'product', 'dilolosin']",NoBully,Bully
"['beda', 'server', 'kak', 'dukun', 'pakai', 'server', 'lokal']",NoBully,Bully
"['wkwkw', 'pocong', 'gundulnya', 'kocak', 'si']",NoBully,Bully
"['nama', 'km', 'sean', 'tipis', 'tipis', 'bahasa', 'ingrisnya', 'laut', 'sea']",NoBully,Bully
"['kak', 'tulangnya', 'kak']",NoBully,Bully
['geblek'],Bully,NoBully
"['seungcheol', 'anak', 'geblek']",NoBully,Bully
"['wkwkwk', 'geblek']",NoBully,Bully
['geblek'],Bully,NoBully
['geblek'],Bully,NoBully
"['wkwkwk', 'geblek']",NoBully,Bully
"['akun', 'bot', 'koplak', 'vote', 'sudah', 'rampung', 'up', 'geblek']",NoBully,Bully
['geblek'],Bully,NoBully
['geblek'],Bully,NoBully
"['yang', 'benar', 'aja', 'berli', 'lo', 'kebangun', 'jam', 'segini', 'emosi', 'doang', 'audit', 'pagi', 'gelo', 'geblek', 'belajar', 'h']",NoBully,Bully
['geblek'],Bully,NoBully
"['dikasik', 'kerjan', 'geblek', 'emah']",NoBully,Bully
['geblek'],Bully,NoBully
"['si', 'geblek', 'anjing', 't', 't']",NoBully,Bully
['geblek'],Bully,NoBully
['geblek'],Bully,NoBully
['geblek'],Bully,NoBully
['geblek'],Bully,NoBully
