full_text,Label,predicted_label
"['minimal', 'kalau', 'gue', 'editin', 'cari', 'materinya', 'anjing', 'udah', 'tugas', 'materi', 'kagak', 'cari', 'boro', 'boro', 'cari', 'pesan', 'nya', 'read', 'aja', 'kagak', 'babi', 'lo', 'anjing', 'beban', 'benar', 'izin', 'misuh', 'iya']",Bully,Bully
"['jamur', 'ngapain', 'sih', 'becky', 'negeri', 'mending', 'tiduran', 'rumah', 'main', 'anjing', 'pergi', 'pergi']",Bully,NoBully
"['susi', 'siapa', 'anjing', 'btw', 'galang', 'sampai', 'galang']",NoBully,NoBully
"['begini', 'sangat', 'tim', 'gede', 'pemegang', 'gelar', 'liga', 'ingris', 'keliatan', 'banget', 'kali', 'sirik', 'nya', 'emyu', 'small', 'club', 'makan', 'itu', 'fakta', 'anjing']",NoBully,NoBully
"['anjing', 'ngetwet']",NoBully,NoBully
"['tidak', 'salah', 'sih', 'anjing', 'wkwkwkwk']",NoBully,NoBully
"['anjing', 'admin', 'kantor', 'dibayarin', 'nonton', 'aespa', 'ngentot', 'iri', 'berat']",NoBully,NoBully
"['tonjok', 'perut', 'gue', 'cemburu', 'anjing']",NoBully,NoBully
"['salah', 'submit', 'anjing', 'anjing']",NoBully,NoBully
"['anak', 'anjing', 'pakai', 'banget']",NoBully,NoBully
"['percaya', 'rumor', 't', 'pi', 'tai', 'bakalan', 'date', 'cewek', 'tidak', 'cowok', 'anjing', 'tolol', 'ngatain', 'tolol', 'bilang', 'tai', 'dating', 'women', 'itu', 'langsung', 'tantrum', 'jekicot', 'dating', 'bongo']",NoBully,NoBully
"['anjing', 'anjing']",NoBully,NoBully
"['gausah', 'bawa', 'army', 'anjing', 'gada', 'sangkut', 'pautnya', 'orang', 'reveluv', 'blink', 'tidak', 'demen', 'ngomongin', 'dibahas', 'ganyambung', 'banget']",NoBully,NoBully
"['marah', 'sama', 'si', 'anjing', 'sakit', 'hati', 'gara', 'si', 'anjing', 'pengin', 'peluk', 'hn', 'ngarep', 'sama', 'sencol', 'sencol', 'jangan', 'aneh', 'ya', 'sencol', 'kasihan', 'hn', 'aku']",NoBully,NoBully
"['memang', 'kntol', 'dah', 'lo', 'semua', 'anjing']",NoBully,NoBully
"['mampus', 'anjing']",NoBully,NoBully
"['pagi', 'pagi', 'sudah', 'ngeliat', 'kelakuan', 'solos', 'kontol', 'anjing', 'muka', 'lo', 'gue', 'remes', 'remes', 'biar', 'kisut', 'anjing']",Bully,NoBully
['anjing'],NoBully,NoBully
"['anjing', 'lato', 'kaget', 'aing']",NoBully,NoBully
"['kayak', 'anjing', 'elu', 'saying', 'one', 'of', 'the', 'meanest', 'thing', 'to', 'me', 'giliran', 'gue', 'yang', 'ngomong', 'jahat', 'elu', 'koar', 'koar', 'ngatain', 'gue', 'baperan', 'sensi', 'tidak', 'ngerti', 'jokes', 'goblog', 'your', 'jokes', 'is', 'making', 'fun', 'of', 'my', 'physique', 'and', 'my', 'loks']",NoBully,NoBully
"['result', 'carolina', 'day', 'minggu', 'september', 'shio', 'anjing', 'silahkan', 'isi', 'form', 'withdraw', 'jp', 'salam', 'jp', 'jabartoto']",NoBully,NoBully
"['yang', 'lebih', 'bajingan', 'mrk', 'yang', 'menjadikan', 'anjing', 'china', 'polisi']",NoBully,NoBully
"['result', 'carolina', 'day', 'minggu', 'september', 'shio', 'anjing', 'silahkan', 'isi', 'form', 'withdraw', 'jp', 'salam', 'jp', 'jabartoto']",NoBully,NoBully
"['cina', 'anjing']",NoBully,NoBully
"['her', 'marah', 'and', 'literaly', 'saying', 'one', 'of', 'the', 'meanest', 'thing', 'to', 'me', 'me', 'maaf', 'berkali', 'kali', 'padahal', 'bukan', 'gue', 'yang', 'salah', 'wek', 'later', 'me', 'cmn', 'ngmong', 'jokes', 'lo', 'tidak', 'lucu', 'anjing', 'gue', 'tersingung', 'her', 'sih', 'ngentot', 'sensi', 'sangat', 'baperan', 'jokes', 'doang']",NoBully,NoBully
"['st', 'of', 'al', 'boston', 'anjing', 'sebel', 'belagu', 'sangat', 'giliran', 'ulti', 'sama', 'mew', 'ciut', 'lo', 'muntah']",Bully,Bully
"['semoga', 'dikasih', 'mimpi', 'dikejar', 'anjing']",NoBully,NoBully
"['tulis', 'aja', 'langsung', 'anak', 'arab', 'anjing', 'banget', 'lo', 'ngespil', 'gitu', 'aja', 'monyet']",NoBully,NoBully
"['sapa', 'nk', 'dengar', 'salakan', 'raja', 'anjing', 'bangsat', 'gila', 'sb', 'dedak', 'babi', 'nk', 'abis', 'pukimak', 'kau', 'sial']",NoBully,NoBully
"['cina', 'anjing']",NoBully,NoBully
"['gue', 'muter', 'muter', 'kayak', 'orang', 'tolol', 'anjing', 'kayaknye', 'efek', 'earing']",NoBully,NoBully
"['bangsat', 'anjing', 'bilang', 'aja', 'lo', 'tidak', 'belikan', 'gue']",NoBully,NoBully
['anjing'],NoBully,NoBully
"['anjing', 'gue', 'cemburu']",NoBully,NoBully
"['gue', 'wanti', 'wanti', 'banget', 'ya', 'anjing', 'biar', 'tidak', 'brengsek', 'gue', 'kena', 'kontol']",NoBully,NoBully
"['tinggal', 'dibersihkan', 'salah', 'si', 'anjing']",NoBully,NoBully
"['gebrakan', 'gue', 'bangun', 'anjing']",NoBully,NoBully
"['uninstal', 'monopolygo', 'sbelum', 'kecoh', 'israel', 'koyak', 'spin', 'event', 'kayak', 'bodoh', 'itu', 'deal', 'bnyak', 'ciput', 'dadu', 'habis', 'anjing', 'punye', 'game']",NoBully,NoBully
"['pas', 'yang', 'otomatis', 'ngomong', 'anjing', 'bangsat']",NoBully,NoBully
"['sumpah', 'lucu', 'banget', 'anjing', 'hahahahahaha']",NoBully,NoBully
"['result', 'brazil', 'night', 'pols', 'minggu', 'september', 'shio', 'anjing', 'silahkan', 'isi', 'form', 'withdraw', 'jp', 'salam', 'jp', 'jabartoto']",NoBully,NoBully
"['kaget', 'anjir', 'mantan', 'buka', 'pintu', 'kost', 'cuman', 'pakai', 'cd', 'anjing']",NoBully,NoBully
"['gila', 'gue', 'kayak', 'mama', 'muda', 'jam', 'anjing', 'gue', 'nangis', 'gara', 'kedinginan']",NoBully,NoBully
"['konyol', 'anjing', 'lo', 'hidup', 'bareng', 'badut', 'it', 'aja', 'anjir', 'ketawa']",NoBully,NoBully
"['gabisa', 'anjing', 'gue', 'gabisa']",NoBully,NoBully
"['result', 'cambodia', 'night', 'pols', 'minggu', 'september', 'shio', 'anjing', 'silahkan', 'isi', 'form', 'withdraw', 'jp', 'salam', 'jp', 'jabartoto']",NoBully,NoBully
"['fuck', 'anjing', 'hahahahahah']",NoBully,NoBully
"['alah', 'itu', 'adil', 'kadang', 'yang', 'hina', 'mata', 'manusia', 'berbeda', 'mata', 'alah', 'pelacur', 'yang', 'masuk', 'surga', 'gegara', 'minum', 'anjing', 'meningal', 'tidak', 'tau', 'ending', 'orang', 'hakim', 'saudaramu']",NoBully,NoBully
"['anjing', 'ketemu', 'renjun', 'bangsat']",NoBully,NoBully
"['gue', 'juga', 'anjing']",NoBully,NoBully
"['anjing', 'gue']",NoBully,NoBully
"['galang', 'anjing', 'babi', 'bangsat', 'tai', 'kucing', 'lo', 'galang', 'anjing', 'gue', 'doain', 'itu', 'kontol', 'tidak', 'muncrat', 'tai']",NoBully,NoBully
"['lo', 'mendingan', 'kawin', 'anjing', 'aja', 'sudah', 'anaknya', 'mengongong', 'tidak', 'nangis']",Bully,Bully
"['anjing', 'gue', 'udah', 'kaget']",NoBully,NoBully
"['gada', 'yang', 'peduli', 'anjing']",NoBully,NoBully
"['anjing', 'karina', 'secakep', 'smlm']",NoBully,NoBully
"['aduh', 'gue', 'stuck', 'bermenit', 'menit', 'pedih', 'lo', 'suka', 'banget', 'yak', 'sampai', 'berjuang', 'segitunya', 'lo', 'bego', 'sih', 'huhuhu', 'anjing', 'gue', 'aja', 'tidak', 'gue', 'burik', 'kak', 'part']",NoBully,NoBully
"['prediksi', 'togel', 'sydney', 'september', 'angka', 'main', 'colok', 'bebas', 'd', 'sampai', 'top', 'd', 'top', 'd', 'top', 'd', 'shio', 'anjing', 'angka', 'twins', 'web', 'prediksi', 'flokitoto']",NoBully,NoBully
"['obatku', 'anjing', 'gede']",NoBully,NoBully
"['bulan', 'menhilang', 'dateng', 'bginila', 'hukum', 'alam', 'pergi', 'dasar', 'anjing', 'uda', 'capek', 'ma', 'tulus', 'stia', 'mala', 'hilang', 'pas', 'dateng', 'dgn', 'ucpan', 'manis', 'nya', 'anjing', 'uda', 'enak', 'jomblo', 'kesepian', 'orang', 'yang', 'tingalkan', 'saya', 'mnyesal']",NoBully,NoBully
"['brengsek', 'lo', 'miya', 'gue', 'nangis', 'pagi', 'pagi', 'anjing']",NoBully,NoBully
['anjing'],NoBully,NoBully
"['anjing', 'gue', 'cape', 'cinta', 'sendri', 'gue', 'males', 'orng', 'gue', 'kesel', 'sumpah', 'gue', 'bete', 'prh', 'anjh']",NoBully,NoBully
"['anjing', 'ketawa', 'banget']",NoBully,NoBully
"['tai', 'anjing']",NoBully,NoBully
"['parah', 'anjing', 'parah', 'no']",NoBully,NoBully
"['terjerat', 'jaring', 'bayi', 'anjing', 'laut', 'diselamatkan', 'afsel']",NoBully,NoBully
"['tau', 'anjing', 'ya']",NoBully,NoBully
