full_text,Label
"['minimal', 'kalau', 'gue', 'editin', 'cari', 'materinya', 'anjing', 'udah', 'tugas', 'materi', 'kagak', 'cari', 'boro', 'boro', 'cari', 'pesan', 'nya', 'read', 'aja', 'kagak', 'babi', 'lo', 'anjing', 'beban', 'benar', 'izin', 'misuh', 'iya']",Bully
"['jamur', 'ngapain', 'sih', 'becky', 'negeri', 'mending', 'tiduran', 'rumah', 'main', 'anjing', 'pergi', 'pergi']",Bully
"['susi', 'siapa', 'anjing', 'btw', 'galang', 'sampai', 'galang']",NoBully
"['begini', 'sangat', 'tim', 'gede', 'pemegang', 'gelar', 'liga', 'ingris', 'keliatan', 'banget', 'kali', 'sirik', 'nya', 'emyu', 'small', 'club', 'makan', 'itu', 'fakta', 'anjing']",NoBully
"['anjing', 'ngetwet']",NoBully
"['tidak', 'salah', 'sih', 'anjing', 'wkwkwkwk']",NoBully
"['anjing', 'admin', 'kantor', 'dibayarin', 'nonton', 'aespa', 'ngentot', 'iri', 'berat']",NoBully
"['tonjok', 'perut', 'gue', 'cemburu', 'anjing']",NoBully
"['salah', 'submit', 'anjing', 'anjing']",NoBully
"['anak', 'anjing', 'pakai', 'banget']",NoBully
"['percaya', 'rumor', 't', 'pi', 'tai', 'bakalan', 'date', 'cewek', 'tidak', 'cowok', 'anjing', 'tolol', 'ngatain', 'tolol', 'bilang', 'tai', 'dating', 'women', 'itu', 'langsung', 'tantrum', 'jekicot', 'dating', 'bongo']",NoBully
"['anjing', 'anjing']",NoBully
"['gausah', 'bawa', 'army', 'anjing', 'gada', 'sangkut', 'pautnya', 'orang', 'reveluv', 'blink', 'tidak', 'demen', 'ngomongin', 'dibahas', 'ganyambung', 'banget']",NoBully
"['marah', 'sama', 'si', 'anjing', 'sakit', 'hati', 'gara', 'si', 'anjing', 'pengin', 'peluk', 'hn', 'ngarep', 'sama', 'sencol', 'sencol', 'jangan', 'aneh', 'ya', 'sencol', 'kasihan', 'hn', 'aku']",NoBully
"['memang', 'kntol', 'dah', 'lo', 'semua', 'anjing']",NoBully
"['mampus', 'anjing']",NoBully
"['pagi', 'pagi', 'sudah', 'ngeliat', 'kelakuan', 'solos', 'kontol', 'anjing', 'muka', 'lo', 'gue', 'remes', 'remes', 'biar', 'kisut', 'anjing']",Bully
['anjing'],NoBully
"['anjing', 'lato', 'kaget', 'aing']",NoBully
"['kayak', 'anjing', 'elu', 'saying', 'one', 'of', 'the', 'meanest', 'thing', 'to', 'me', 'giliran', 'gue', 'yang', 'ngomong', 'jahat', 'elu', 'koar', 'koar', 'ngatain', 'gue', 'baperan', 'sensi', 'tidak', 'ngerti', 'jokes', 'goblog', 'your', 'jokes', 'is', 'making', 'fun', 'of', 'my', 'physique', 'and', 'my', 'loks']",NoBully
"['result', 'carolina', 'day', 'minggu', 'september', 'shio', 'anjing', 'silahkan', 'isi', 'form', 'withdraw', 'jp', 'salam', 'jp', 'jabartoto']",NoBully
"['yang', 'lebih', 'bajingan', 'mrk', 'yang', 'menjadikan', 'anjing', 'china', 'polisi']",NoBully
"['result', 'carolina', 'day', 'minggu', 'september', 'shio', 'anjing', 'silahkan', 'isi', 'form', 'withdraw', 'jp', 'salam', 'jp', 'jabartoto']",NoBully
"['cina', 'anjing']",NoBully
